iter	MultiClass
0	1.528635042
1	1.467881934
2	1.418700164
3	1.374707899
4	1.337841919
5	1.305335479
6	1.271345701
7	1.243489137
8	1.215671822
9	1.192086654
10	1.169409845
11	1.150105385
12	1.13495716
13	1.120237902
14	1.10725301
15	1.09290398
16	1.080231856
17	1.066174401
18	1.056799119
19	1.045978974
20	1.038819792
21	1.030438921
22	1.022131008
23	1.015103586
24	1.007073017
25	0.9981732594
26	0.9907076217
27	0.9851601859
28	0.9789682987
29	0.9742193833
30	0.9695897629
31	0.9653267215
32	0.9595957217
33	0.954441314
34	0.9499949011
35	0.9449438967
36	0.9420855445
37	0.937426878
38	0.9303569699
39	0.9247572299
40	0.9191933142
41	0.9153969477
42	0.9096964319
43	0.9053514905
44	0.9014451305
45	0.8992972687
46	0.8959693813
47	0.8927164408
48	0.89025246
49	0.8874632537
50	0.8836722584
51	0.8816584505
52	0.8788980246
53	0.8768576163
54	0.8730387788
55	0.8694488165
56	0.866892056
57	0.8630810601
58	0.8611276813
59	0.8592002835
60	0.8552066672
61	0.8532909925
62	0.8506028592
63	0.8487637586
64	0.8442996799
65	0.8420525986
66	0.8382542003
67	0.835185449
68	0.8319725112
69	0.8303149605
70	0.8282032134
71	0.8247801846
72	0.8234847577
73	0.8221590812
74	0.8196654308
75	0.8169716253
76	0.8146340425
77	0.8130777562
78	0.8090391836
79	0.8055782815
80	0.8023347791
81	0.7981338742
82	0.7946908133
83	0.7928735531
84	0.7909406952
85	0.7891134453
86	0.7855095821
87	0.7835784148
88	0.7823725773
89	0.7798834365
90	0.7778458234
91	0.7750157102
92	0.7737303438
93	0.7719517143
94	0.7702152117
95	0.7673276127
96	0.7639348721
97	0.7617483846
98	0.7595271113
99	0.7576751585
100	0.7565976049
101	0.7540508442
102	0.7524035554
103	0.7495117528
104	0.7469095241
105	0.7447172844
106	0.7410314552
107	0.7381393218
108	0.7352712297
109	0.7332284048
110	0.7310889349
111	0.7289580688
112	0.7265413565
113	0.7233314748
114	0.7208593253
115	0.7189657598
116	0.7173283358
117	0.7161904944
118	0.7145931385
119	0.7131290775
120	0.7116089522
121	0.709919138
122	0.7077278955
123	0.7051306296
124	0.7037127709
125	0.7025787477
126	0.7012769056
127	0.6997548891
128	0.6975159226
129	0.6961412545
130	0.6924899382
131	0.6907158537
132	0.6891368945
133	0.6868561537
134	0.6845736171
135	0.6833306249
136	0.6814224557
137	0.6797609693
138	0.6785109339
139	0.6769902591
140	0.6728608401
141	0.6708526694
142	0.668890766
143	0.6679492909
144	0.6665120163
145	0.6646013724
146	0.6625311476
147	0.6618796372
148	0.6606995243
149	0.6595160356
150	0.6586919292
151	0.6570306425
152	0.6556475225
153	0.6544848083
154	0.6514520456
155	0.6493779435
156	0.6472283848
157	0.6454103003
158	0.6436039117
159	0.6428661953
160	0.6412326092
161	0.6388452034
162	0.6366774617
163	0.634660065
164	0.6326184065
165	0.6316417941
166	0.6295268416
167	0.6277410024
168	0.625147641
169	0.6236780909
170	0.6217595798
171	0.6203734582
172	0.6184599726
173	0.6167204784
174	0.6145192438
175	0.6127221807
176	0.6117181654
177	0.6102572468
178	0.607787482
179	0.6064963253
180	0.6055162652
181	0.6047759898
182	0.6032017575
183	0.6021465774
184	0.6001184892
185	0.5993406626
186	0.5973314715
187	0.5949289801
188	0.5925306502
189	0.5913055886
190	0.5898174984
191	0.587671557
192	0.5861864396
193	0.5829099617
194	0.5816384581
195	0.5802810803
196	0.5790494757
197	0.5780886075
198	0.5766230415
199	0.574931696
200	0.5731227655
201	0.572096846
202	0.5702366477
203	0.5690745462
204	0.5679667708
205	0.5666066333
206	0.5652963041
207	0.5630918149
208	0.5616852256
209	0.5610039851
210	0.5592730569
211	0.5568421066
212	0.5552081909
213	0.5528355141
214	0.552002408
215	0.5504310102
216	0.5493767291
217	0.5473849191
218	0.5456009198
219	0.5438572724
220	0.5427846818
221	0.5417984838
222	0.540683188
223	0.5394188839
224	0.5375588851
225	0.5359342645
226	0.5352445932
227	0.5343726441
228	0.5326129868
229	0.5316200896
230	0.5304769733
231	0.5285183693
232	0.5272457525
233	0.5245620237
234	0.5235606379
235	0.5221891824
236	0.5213007835
237	0.5206374114
238	0.5193896441
239	0.5184093018
240	0.5169017074
241	0.5155029163
242	0.5136997295
243	0.5127652925
244	0.5116079391
245	0.5097264795
246	0.5088719628
247	0.5072249102
248	0.5064599095
249	0.5055861079
250	0.5035752314
251	0.5028569037
252	0.5017043913
253	0.500770393
254	0.4996630261
255	0.4981576238
256	0.4969141467
257	0.4957604314
258	0.494578577
259	0.4917757033
260	0.4907454001
261	0.4898926759
262	0.4883680306
263	0.4867460547
264	0.4853977274
265	0.4845817553
266	0.4828343061
267	0.4819917461
268	0.4812568148
269	0.4809082647
270	0.4797631523
271	0.4790323697
272	0.4773682237
273	0.4759935415
274	0.4744130011
275	0.4725696294
276	0.4703332606
277	0.4696661703
278	0.4682588319
279	0.4670646693
280	0.4650422567
281	0.4639032862
282	0.462746597
283	0.4618721777
284	0.4606231895
285	0.4591463441
286	0.4582683951
287	0.4570599115
288	0.4564471733
289	0.4551783685
290	0.4543486839
291	0.4532035949
292	0.4518970421
293	0.4511248479
294	0.4504772886
295	0.4498646265
296	0.4488349903
297	0.4475376853
298	0.4463429978
299	0.4454739781
300	0.4444263161
301	0.4433901927
302	0.442526629
303	0.441823286
304	0.4405891916
305	0.4398957262
306	0.4388164823
307	0.4373848642
308	0.4367457373
309	0.4358411467
310	0.4351547804
311	0.4340161082
312	0.43369021
313	0.4329071377
314	0.430947876
315	0.4304315131
316	0.4292142541
317	0.4280141508
318	0.42725784
319	0.4270074592
320	0.4259353385
321	0.425547378
322	0.4251080091
323	0.4232906907
324	0.4228845208
325	0.4215493594
326	0.4199416567
327	0.4193476121
328	0.4186713566
329	0.4178762828
330	0.4174018288
331	0.4165623794
332	0.415445008
333	0.4145170674
334	0.4133842002
335	0.4118984912
336	0.411448348
337	0.4108900668
338	0.4094874794
339	0.4086342772
340	0.4076421983
341	0.4071196251
342	0.4065388488
343	0.4058275209
344	0.4043937209
345	0.40362208
346	0.4027066617
347	0.4013763315
348	0.3999951955
349	0.3990485364
350	0.3984891079
351	0.3980349829
352	0.3976934347
353	0.3966964555
354	0.3957780829
355	0.39532195
356	0.3946255174
357	0.3937290981
358	0.3930474645
359	0.3922293383
360	0.3915939766
361	0.3908219511
362	0.3902380861
363	0.3891874317
364	0.3877858549
365	0.3870942255
366	0.3866917538
367	0.3860334637
368	0.3846853585
369	0.383631011
370	0.3824799533
371	0.381467757
372	0.3803083593
373	0.379592138
374	0.3785586663
375	0.3771947395
376	0.3758655826
377	0.3745171383
378	0.3734524354
379	0.3725083654
380	0.3716206047
381	0.3706151988
382	0.369901815
383	0.3687673587
384	0.3680681486
385	0.3678390108
386	0.3668407722
387	0.3657552596
388	0.3654301829
389	0.3645410621
390	0.3637732502
391	0.3629455793
392	0.3626125942
393	0.3616579228
394	0.3613270937
395	0.359916376
396	0.3591025557
397	0.3579811911
398	0.3573318881
399	0.3568551572
400	0.3563702839
401	0.3557434358
402	0.3550341712
403	0.354312645
404	0.3533052695
405	0.3530341839
406	0.3526298322
407	0.3520343866
408	0.3516941119
409	0.3511732378
410	0.3506806621
411	0.350108677
412	0.3492625518
413	0.3477113309
414	0.3467355955
415	0.3460731117
416	0.3452858269
417	0.3446118098
418	0.3443182022
419	0.3428610508
420	0.3424147634
421	0.3414920863
422	0.3403474818
423	0.3396328856
424	0.3390427175
425	0.3381546988
426	0.3377114434
427	0.3371937457
428	0.336724727
429	0.3360097734
430	0.3352038495
431	0.3341506777
432	0.3335421154
433	0.3331648571
434	0.3325207752
435	0.3315746481
436	0.3301648998
437	0.3296066303
438	0.3289563956
439	0.3282438479
440	0.3274761965
441	0.3270582947
442	0.3263126965
443	0.3259705542
444	0.3253493621
445	0.3249662488
446	0.3242412231
447	0.3238566258
448	0.3227255462
449	0.3220589516
450	0.3214749794
451	0.3209918732
452	0.3201075876
453	0.3193048291
454	0.3185184316
455	0.3180034566
456	0.3175308575
457	0.3169995803
458	0.3163682863
459	0.3151699404
460	0.3144231438
461	0.3133838922
462	0.3126923472
463	0.3120888155
464	0.311318758
465	0.3108615761
466	0.3104375611
467	0.3095354355
468	0.3093415289
469	0.3088361403
470	0.3076318951
471	0.3072894246
472	0.3063685981
473	0.305653061
474	0.3047414888
475	0.303763459
476	0.3028152144
477	0.3021911607
478	0.3019526374
479	0.3015303957
480	0.3010689213
481	0.3004022988
482	0.2997210639
483	0.2992115471
484	0.2985644752
485	0.2976103012
486	0.2971368466
487	0.2966963627
488	0.2960439852
489	0.2957652616
490	0.2953486589
491	0.2947643094
492	0.2939939689
493	0.2929459352
494	0.2923057411
495	0.2918206018
496	0.2912783599
497	0.2910513049
498	0.2904663141
499	0.2895101197
500	0.2891060264
501	0.2885814503
502	0.2880667209
503	0.2873373615
504	0.286022751
505	0.2850320161
506	0.2843705347
507	0.2835511409
508	0.2831803644
509	0.2824684888
510	0.2815094703
511	0.2806916407
512	0.2798028009
513	0.279311634
514	0.2788427662
515	0.2782472142
516	0.2778646213
517	0.2774139116
518	0.2764977607
519	0.276049018
520	0.2756134676
521	0.2747558946
522	0.2745543503
523	0.2741772765
524	0.2734029668
525	0.2729703939
526	0.2723573361
527	0.2716618156
528	0.2709102726
529	0.270634958
530	0.2694040323
531	0.2690573969
532	0.268602251
533	0.2680098233
534	0.2675997051
535	0.2671431245
536	0.2665852695
537	0.2661896617
538	0.2651111004
539	0.2644841267
540	0.2637582087
541	0.2626013568
542	0.2621879527
543	0.2617908002
544	0.2611869273
545	0.2607948959
546	0.2603228353
547	0.2598026242
548	0.2592306429
549	0.2584734542
550	0.2579939193
551	0.2574015284
552	0.2568620431
553	0.2563377057
554	0.2558722286
555	0.2553167901
556	0.254716005
557	0.2542260503
558	0.2537022418
559	0.2531674543
560	0.2527745815
561	0.2524151029
562	0.2519522037
563	0.2512429584
564	0.2504836723
565	0.2503891525
566	0.2494910975
567	0.2490373304
568	0.2485637124
569	0.247988433
570	0.2477640599
571	0.2472351684
572	0.2469911007
573	0.2466842034
574	0.2460581911
575	0.2457785783
576	0.2454318716
577	0.2451188967
578	0.2447455279
579	0.2440297778
580	0.2434736779
581	0.2432415745
582	0.242938934
583	0.2425202714
584	0.2420575723
585	0.2415054741
586	0.2411545243
587	0.2406729374
588	0.2402723138
589	0.2397786285
590	0.2394256106
591	0.2388496877
592	0.2383709635
593	0.2378302331
594	0.2374264854
595	0.237097413
596	0.2365037863
597	0.2360472393
598	0.2355807613
599	0.2352390115
600	0.2344329364
601	0.2340677601
602	0.2334790931
603	0.2333107804
604	0.2329554393
605	0.2326569673
606	0.232330393
607	0.2321068019
608	0.2318314945
609	0.231308706
610	0.2310229773
611	0.2304425644
612	0.2297478871
613	0.2295357764
614	0.2292350134
615	0.2289769234
616	0.2287952037
617	0.2282341579
618	0.2273266712
619	0.22684052
620	0.2264321057
621	0.2261177204
622	0.2257342242
623	0.2256327131
624	0.2252890825
625	0.2249707857
626	0.2247487323
627	0.224051363
628	0.2237829358
629	0.2233521924
630	0.2229139265
631	0.2224010369
632	0.2220658125
633	0.2217024038
634	0.2214881383
635	0.2211043153
636	0.2209631749
637	0.2205327772
638	0.2202460268
639	0.2198777732
640	0.2194560457
641	0.2189492068
642	0.2184740348
643	0.2180669011
644	0.2177748176
645	0.2172887173
646	0.2167246529
647	0.2164382464
648	0.2160728831
649	0.215832043
650	0.2155846367
651	0.2150960003
652	0.2147168087
653	0.2141863344
654	0.213802377
655	0.2135280384
656	0.2132789161
657	0.2131305988
658	0.2128218284
659	0.2124104168
660	0.2118895202
661	0.2114454317
662	0.2112827207
663	0.2108489478
664	0.210569545
665	0.2100520637
666	0.2097223443
667	0.2093416656
668	0.2086655446
669	0.2083788602
670	0.2081539946
671	0.2079837782
672	0.2077618014
673	0.207421413
674	0.2070269223
675	0.2068280151
676	0.2065275103
677	0.2063407039
678	0.2058669367
679	0.2057122454
680	0.2054034582
681	0.2050767142
682	0.2048681958
683	0.2047153236
684	0.2044648941
685	0.2041319104
686	0.203601642
687	0.2032441321
688	0.2027997638
689	0.2023641913
690	0.2020334755
691	0.2016234332
692	0.2012279421
693	0.2007857323
694	0.2005476526
695	0.2001955887
