iter	Passed	Remaining
0	1	1133
1	2	1232
2	3	1257
3	5	1263
4	6	1275
5	7	1263
6	8	1261
7	10	1266
8	11	1266
9	12	1261
10	13	1258
11	15	1270
12	16	1279
13	18	1278
14	19	1278
15	20	1276
16	22	1276
17	23	1275
18	24	1274
19	25	1273
20	27	1268
21	28	1267
22	29	1264
23	31	1265
24	32	1264
25	33	1269
26	34	1257
27	35	1245
28	36	1236
29	37	1227
30	39	1230
31	40	1215
32	40	1199
33	41	1183
34	42	1168
35	43	1153
36	43	1140
37	44	1128
38	45	1115
39	46	1105
40	46	1094
41	47	1083
42	48	1073
43	49	1065
44	49	1056
45	50	1047
46	51	1038
47	52	1031
48	52	1023
49	53	1016
50	54	1009
51	54	1002
52	55	995
53	56	988
54	57	982
55	57	976
56	58	973
57	59	969
58	60	966
59	61	959
60	61	954
61	62	950
62	63	946
63	64	943
64	65	939
65	66	934
66	66	930
67	67	925
68	68	921
69	69	916
70	69	913
71	70	909
72	71	904
73	71	899
74	72	896
75	73	892
76	74	890
77	75	887
78	75	885
79	76	883
80	77	881
81	78	879
82	79	876
83	80	874
84	81	872
85	81	869
86	82	865
87	83	863
88	84	861
89	85	859
90	85	857
91	86	853
92	87	849
93	87	846
94	88	843
95	89	842
96	90	839
97	91	837
98	91	835
99	92	833
100	93	832
101	94	830
102	95	828
103	95	826
104	96	824
105	97	822
106	98	821
107	99	819
108	100	818
109	101	817
110	101	816
111	102	813
112	103	811
113	104	810
114	105	809
115	105	807
116	106	805
117	107	803
118	108	801
119	108	798
120	109	796
121	110	794
122	111	792
123	111	790
124	112	788
125	113	786
126	114	784
127	114	782
128	115	781
129	116	779
130	117	778
131	118	775
132	118	774
133	119	772
134	120	770
135	121	768
136	121	766
137	122	765
138	123	762
139	123	760
140	124	759
141	125	757
142	126	755
143	126	754
144	127	752
145	128	750
146	129	749
147	129	746
148	130	744
149	131	743
150	131	741
151	132	739
152	133	739
153	137	754
154	138	754
155	139	753
156	144	775
157	145	773
158	146	776
159	148	780
160	150	782
161	150	780
162	151	778
163	152	776
164	154	784
165	157	788
166	157	787
167	158	785
168	159	785
169	160	785
170	163	792
171	164	790
172	164	788
173	165	786
174	166	785
175	167	783
176	168	781
177	168	779
178	169	777
179	170	775
180	171	774
181	171	772
182	172	770
183	173	768
184	174	766
185	174	765
186	175	763
187	176	761
188	177	760
189	177	758
190	178	756
191	179	754
192	180	753
193	180	751
194	181	750
195	182	748
196	183	746
197	183	745
198	184	743
199	185	742
200	186	740
201	186	738
202	187	737
203	188	735
204	189	734
205	190	732
206	190	731
207	191	729
208	192	728
209	193	726
210	194	725
211	194	724
212	195	722
213	196	722
214	197	721
215	198	721
216	199	721
217	201	723
218	202	722
219	205	728
220	206	727
221	208	730
222	210	732
223	211	732
224	212	731
225	213	730
226	215	734
227	216	733
228	218	735
229	219	735
230	220	733
231	221	733
232	223	734
233	226	742
234	227	740
235	228	739
236	229	737
237	229	735
238	230	734
239	235	746
240	236	744
241	242	760
242	243	759
243	244	757
244	245	756
245	246	755
246	247	755
247	248	754
248	249	752
249	250	751
250	251	750
251	252	748
252	253	747
253	254	746
254	254	744
255	256	744
256	257	744
257	259	745
258	260	744
259	260	742
260	261	740
261	262	739
262	263	737
263	264	737
264	265	736
265	266	736
266	268	736
267	269	735
268	270	735
269	273	738
270	274	738
271	275	737
272	276	736
273	277	735
274	278	735
275	291	763
276	305	797
277	306	796
278	307	794
279	308	793
280	311	795
281	321	817
282	331	839
283	333	841
284	337	845
285	351	877
286	365	908
287	367	908
288	385	947
289	387	948
290	389	949
291	390	947
292	408	985
293	410	984
294	443	1059
295	471	1121
296	473	1119
297	474	1116
298	478	1122
299	480	1121
300	482	1120
301	485	1121
302	514	1184
303	516	1182
304	520	1185
305	525	1192
306	526	1188
307	527	1185
308	528	1182
309	530	1181
310	540	1197
311	541	1195
312	575	1262
313	576	1259
314	577	1256
315	579	1255
316	581	1251
