surgery,age,hospital_number,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,surgical_lesion,lesion_1,cp_data,outcome
1,1,530001,38.1,132.0,24.0,3.0,2.0,5.0,1.0,1.0,0.0,1.0,0.0,2.0,6.5,2.0,1.0,57.0,8.5,1.0,3.4,1,2209,0,2.0
1,1,533836,37.5,88.0,12.0,3.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,33.0,64.0,1.0,2.0,1,2208,0,1.0
1,1,529812,38.3,120.0,28.0,3.0,2.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,3.5,,0.0,37.0,6.4,1.0,3.4,1,5124,0,0.0
1,1,5262541,37.1,72.0,30.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,53.0,7.0,0.0,3.9,1,2208,1,0.0
0,1,5299629,38.0,52.0,48.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,7.0,1.0,2.0,47.0,7.3,0.0,2.6,0,0,1,0.0
0,1,529642,38.1,56.0,32.0,2.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,1.0,5.0,2.0,,49.0,8.0,0.0,2.8,0,0,1,0.0
1,1,534787,38.3,36.0,16.0,3.0,2.0,0.0,0.0,5.0,3.0,1.0,1.0,1.0,2.0,2.0,,43.0,75.0,0.0,1.0,0,3111,1,1.0
0,1,529461,39.2,114.0,24.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,4.5,0.0,1.0,57.0,7.6,1.0,4.5,1,2207,1,2.0
0,1,528742,37.4,48.0,12.0,3.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,7.0,1.0,,40.0,7.8,0.0,2.6,0,0,1,0.0
1,1,529640,38.3,129.0,48.0,3.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,4.4,,,57.0,4.9,0.0,2.9,1,3209,1,2.0
1,1,529642,38.3,84.0,48.0,3.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,5.3,0.0,1.0,46.0,7.5,0.0,2.0,1,2208,1,2.0
1,1,528682,39.3,84.0,30.0,3.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,65.0,8.0,2.0,2.0,1,3205,0,1.0
1,1,530028,38.1,164.0,36.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,0.0,2.0,6.0,2.0,1.0,44.0,6.7,1.0,3.6,0,3205,1,0.0
1,1,528548,38.0,66.0,12.0,3.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,4.5,0.0,0.0,60.0,7.4,1.0,3.9,1,2124,1,0.0
1,1,528134,38.0,124.0,88.0,3.0,2.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,7.0,,,39.0,13.0,1.0,6.6,1,2206,1,0.0
0,1,528305,38.3,44.0,24.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,,33.0,6.5,0.0,3.6,0,31110,1,0.0
1,1,534885,37.8,60.0,16.0,3.0,,0.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,,37.0,75.0,,1.0,1,2208,0,1.0
1,1,5290482,38.8,72.0,24.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,4.5,0.0,0.0,52.0,7.4,1.0,3.3,0,3205,1,0.0
1,1,5279822,38.1,96.0,48.0,3.0,2.0,5.0,1.0,,,0.0,0.0,1.0,5.0,,,72.0,6.8,,3.6,1,2205,0,2.0
1,1,5299629,37.5,70.0,36.0,3.0,2.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,7.5,1.0,2.0,35.0,8.4,1.0,4.5,1,7111,1,2.0
